property                             object                      type        
background_color                     Clutter_Actor               function    
background_color_set                 Clutter_Actor               function    
bind_model                           Clutter_Actor               function    
child_get_property                   Clutter_Actor               function    
child_notify                         Clutter_Actor               function    
child_set_property                   Clutter_Actor               function    
child_transform_set                  Clutter_Actor               function    
clear_actions                        Clutter_Actor               function    
clear_constraints                    Clutter_Actor               function    
clear_effects                        Clutter_Actor               function    
clip_rect                            Clutter_Actor               function    
clip_to_allocation                   Clutter_Actor               function    
constraints                          Clutter_Actor               function    
constructor                          Clutter_Actor               function    
contains                             Clutter_Actor               function    
content                              Clutter_Actor               function    
content_box                          Clutter_Actor               function    
content_gravity                      Clutter_Actor               function    
content_repeat                       Clutter_Actor               function    
continue_paint                       Clutter_Actor               function    
continue_pick                        Clutter_Actor               function    
create_child_meta                    Clutter_Actor               function    
create_pango_context                 Clutter_Actor               function    
create_pango_layout                  Clutter_Actor               function    
destroy                              Clutter_Actor               function    
destroy_all_children                 Clutter_Actor               function    
destroy_child_meta                   Clutter_Actor               function    
ease                                 Clutter_Actor               function    
ease_property                        Clutter_Actor               function    
effect                               Clutter_Actor               function    
event                                Clutter_Actor               function    
find_child_by_name                   Clutter_Actor               function    
find_property                        Clutter_Actor               function    
first_child                          Clutter_Actor               function    
fixed_position_set                   Clutter_Actor               function    
fixed_x                              Clutter_Actor               function    
fixed_y                              Clutter_Actor               function    
get_abs_allocation_vertices          Clutter_Actor                           
get_accessible                       Clutter_Actor               function    
get_action                           Clutter_Actor               function    
get_actions                          Clutter_Actor               function    
get_actor                            Clutter_Actor               function    
get_allocation_box                   Clutter_Actor               function    
get_background_color                 Clutter_Actor               function    
get_child_at_index                   Clutter_Actor               function    
get_child_meta                       Clutter_Actor               function    
get_child_transform                  Clutter_Actor               function    
get_children                         Clutter_Actor               function    
get_clip                             Clutter_Actor               function    
get_clip_to_allocation               Clutter_Actor               function    
get_constraint                       Clutter_Actor               function    
get_constraints                      Clutter_Actor               function    
get_content                          Clutter_Actor               function    
get_content_box                      Clutter_Actor               function    
get_content_gravity                  Clutter_Actor               function    
get_content_repeat                   Clutter_Actor               function    
get_content_scaling_filters          Clutter_Actor               function    
get_default_paint_volume             Clutter_Actor               function    
get_easing_delay                     Clutter_Actor               function    
get_easing_duration                  Clutter_Actor               function    
get_easing_mode                      Clutter_Actor               function    
get_effect                           Clutter_Actor               function    
get_effects                          Clutter_Actor               function    
get_first_child                      Clutter_Actor               function    
get_fixed_position                   Clutter_Actor               function    
get_fixed_position_set               Clutter_Actor               function    
get_flags                            Clutter_Actor               function    
get_height                           Clutter_Actor               function    
get_id                               Clutter_Actor               function    
get_initial_state                    Clutter_Actor               function    
get_last_child                       Clutter_Actor               function    
get_layout_manager                   Clutter_Actor               function    
get_margin                           Clutter_Actor               function    
get_margin_bottom                    Clutter_Actor               function    
get_margin_left                      Clutter_Actor               function    
get_margin_right                     Clutter_Actor               function    
get_margin_top                       Clutter_Actor               function    
get_n_children                       Clutter_Actor               function    
get_name                             Clutter_Actor               function    
get_next_sibling                     Clutter_Actor               function    
get_offscreen_redirect               Clutter_Actor               function    
get_opacity                          Clutter_Actor               function    
get_opacity_override                 Clutter_Actor               function    
get_paint_box                        Clutter_Actor               function    
get_paint_opacity                    Clutter_Actor               function    
get_paint_visibility                 Clutter_Actor               function    
get_paint_volume                     Clutter_Actor               function    
get_pango_context                    Clutter_Actor               function    
